CODGEO;LIBGEO;DENS;LIBDENS;PMUN13;P1;P2;P3;P4;P5;P6;P7
01205;Lancrans;2;Centres urbains intermédiaires;1030;0,0;80,4;0,0;8,5;0,0;9,7;1,4
01206;Lantenay;6;Rural à habitat dispersé;261;0,0;0,0;0,0;0,0;0,0;94,2;5,8
01207;Lapeyrouse;6;Rural à habitat dispersé;316;0,0;0,0;0,0;0,0;0,0;63,7;36,3
01208;Lavours;6;Rural à habitat dispersé;144;0,0;0,0;0,0;0,0;0,0;61,1;38,9
01209;Léaz;6;Rural à habitat dispersé;650;0,0;0,0;0,0;0,0;0,0;90,3;9,7
01210;Lélex;6;Rural à habitat dispersé;231;0,0;0,0;0,0;0,0;0,0;78,6;21,4
01211;Lent;5;Bourgs ruraux;1413;0,0;0,0;0,0;0,0;55,2;25,0;19,8
01212;Lescheroux;6;Rural à habitat dispersé;695;0,0;0,0;0,0;0,0;0,0;58,0;42,0
01213;Leyment;6;Rural à habitat dispersé;1249;0,0;0,0;0,0;0,0;46,0;46,7;7,3
01214;Leyssard;7;Rural à habitat très dispersé;149;0,0;0,0;0,0;0,0;0,0;32,8;67,2
01215;Lhôpital;7;Rural à habitat très dispersé;50;0,0;0,0;0,0;0,0;0,0;0,0;100,0
01216;Lhuis;6;Rural à habitat dispersé;880;0,0;0,0;0,0;0,0;0,0;83,9;16,1
01218;Lochieu;6;Rural à habitat dispersé;95;0,0;0,0;0,0;0,0;0,0;57,7;42,3
01219;Lompnas;6;Rural à habitat dispersé;160;0,0;0,0;0,0;0,0;0,0;100,0;0,0
01221;Lompnieu;6;Rural à habitat dispersé;118;0,0;0,0;0,0;0,0;0,0;53,5;46,5
01224;Loyettes;4;Ceintures urbaines;3115;0,0;0,0;0,0;93,0;0,0;5,5;1,5
01225;Lurcy;6;Rural à habitat dispersé;403;0,0;0,0;0,0;0,0;0,0;95,4;4,6
01227;Magnieu;6;Rural à habitat dispersé;443;0,0;0,0;0,0;0,0;0,0;83,1;16,9
01228;Maillat;5;Bourgs ruraux;648;0,0;0,0;0,0;0,0;50,1;32,1;17,8
01229;Malafretaz;6;Rural à habitat dispersé;1134;0,0;0,0;0,0;0,0;47,2;47,7;5,1
01230;Mantenay-Montlin;7;Rural à habitat très dispersé;309;0,0;0,0;0,0;0,0;0,0;48,5;51,5
01231;Manziat;5;Bourgs ruraux;1948;0,0;0,0;0,0;0,0;61,3;37,2;1,5
01232;Marboz;6;Rural à habitat dispersé;2196;0,0;0,0;0,0;0,0;28,5;43,6;28,0
01233;Marchamp;6;Rural à habitat dispersé;128;0,0;0,0;0,0;0,0;0,0;55,6;44,4
01234;Marignieu;6;Rural à habitat dispersé;164;0,0;0,0;0,0;0,0;0,0;68,9;31,1
01235;Marlieux;5;Bourgs ruraux;995;0,0;0,0;0,0;0,0;60,9;28,6;10,5
01236;Marsonnas;6;Rural à habitat dispersé;998;0,0;0,0;0,0;0,0;0,0;78,4;21,6
01237;Martignat;5;Bourgs ruraux;1584;0,0;0,0;0,2;0,0;88,4;11,1;0,2
01238;Massieux;4;Ceintures urbaines;2448;0,0;0,0;0,0;85,4;0,0;14,5;0,2
01239;Massignieu-de-Rives;6;Rural à habitat dispersé;646;0,0;0,0;0,0;0,0;0,0;87,2;12,8
01240;Matafelon-Granges;6;Rural à habitat dispersé;651;0,0;0,0;0,0;0,0;3,4;55,3;41,3
01241;Meillonnas;6;Rural à habitat dispersé;1303;0,0;0,0;0,0;0,0;38,9;52,0;9,2
01242;Mérignat;6;Rural à habitat dispersé;125;0,0;0,0;0,0;0,0;0,0;99,1;0,9
01243;Messimy-sur-Saône;5;Bourgs ruraux;1218;0,0;0,0;0,0;0,0;75,5;22,5;2,1
01244;Meximieux;2;Centres urbains intermédiaires;7424;0,0;77,1;0,0;19,9;0,0;2,6;0,5
01245;Bohas-Meyriat-Rignat;6;Rural à habitat dispersé;874;0,0;0,0;0,0;0,0;0,0;80,6;19,4
01246;Mézériat;5;Bourgs ruraux;2140;0,0;0,0;0,0;0,0;49,8;40,0;10,2
01247;Mijoux;6;Rural à habitat dispersé;360;0,0;0,0;0,0;0,0;0,0;64,0;36,0
01248;Mionnay;5;Bourgs ruraux;2121;0,0;0,0;0,0;0,0;84,2;10,5;5,3
01249;Miribel;4;Ceintures urbaines;9277;0,0;25,4;0,0;61,9;8,0;4,4;0,3
01250;Misérieux;4;Ceintures urbaines;1842;0,0;0,0;0,0;67,9;0,0;29,4;2,7
01252;Mogneneins;6;Rural à habitat dispersé;765;0,0;0,0;0,0;0,0;0,0;94,3;5,7
01254;Montagnat;5;Bourgs ruraux;1803;0,0;0,0;0,0;0,0;53,3;43,2;3,5
01255;Montagnieu;6;Rural à habitat dispersé;561;0,0;0,0;0,0;0,0;0,0;95,5;4,5
01257;Montanges;6;Rural à habitat dispersé;338;0,0;0,0;0,0;0,0;1,2;76,8;22,0
01258;Montceaux;5;Bourgs ruraux;1226;0,0;0,0;0,0;24,1;44,3;25,2;6,4
01259;Montcet;6;Rural à habitat dispersé;659;0,0;0,0;0,0;0,0;0,0;84,8;15,2
01260;Le Montellier;7;Rural à habitat très dispersé;256;0,0;0,0;0,0;0,0;0,0;25,5;74,5
01261;Monthieux;5;Bourgs ruraux;669;0,0;0,0;0,0;0,0;75,7;10,4;13,9
01262;Montluel;2;Centres urbains intermédiaires;7074;0,0;69,9;0,0;9,8;0,0;15,3;5,0
01263;Montmerle-sur-Saône;4;Ceintures urbaines;3828;0,0;0,0;0,0;86,4;0,0;13,6;0,0
01264;Montracol;5;Bourgs ruraux;999;0,0;0,0;0,0;0,0;42,1;30,5;27,4
01265;Montréal-la-Cluse;3;Petites villes;3410;0,0;0,0;98,6;0,0;0,0;0,0;1,4
